Title,Artist,Genre,Release,Rating
Kidz Bop 34 [CD],Kidz Bop Kids,Children's,01/20/2017,4.8
The Best of Johnny Cash [Curb] [CD],Johnny Cash,Country,08/13/1991,4.6
Top Gun [Original Motion Picture Soundtrack] [CD],Original Soundtrack,Soundtracks & Shows,01/16/2015,4.8
Whiteout Conditions [CD],The New Pornographers,Pop,04/07/17,4.4
1989 [CD],Taylor Swift,Pop,10/27/2014,4.7
Illuminate [13 Tracks] [CD],Shawn Mendes,Pop,05/15/2017,5
After Laughter [LP] - VINYL,Paramore,Pop,09/08/17,5
Ogilala [CD],Billy Corgan,Pop,10/13/2017,4.4
Tooth and Nail [CD],Dokken,Pop,10/28/2008,4.4
Wonder of You: Elvis Presley with the Royal Philharmonic Orchestra [Bonus Track] [CD],Elvis Presley,Pop,10/21/2016,4.7
Greatest Hits [LP] - VINYL,Tom Petty,Pop,08/05/16,5
Greatest Hits [1992] [CD],Queen,Pop,09/15/1992,4.7
Songs from Years Gone By [CD],Ramon Remedios,New Age,07/17/2007,
Anand [CD],Snatam Kaur,New Age,09/06/06,
Pacific Blue [CD],Global Journey,New Age,01/11/11,
Letters To the Farthest Star [CD],Forrest Fang,New Age,03/03/15,
Dream Tracker [CD],Byron Metcalf,New Age,02/02/18,
Nature Sounds: Konig des Waldes - Hirschbrunft [CD],Walter Tilgner,New Age,09/01/98,
Kobialka: Pathless Journey (A Tribute to Toru Takemitsu) [CD],Daniel Kobialka,New Age,09/07/04,
 There's a Riot Going On [LP] - VINYL,Yo La Tengo,Pop,03/16/2018,
 Songbird [CD],Eva Cassidy,Pop,03/09/18,
 The Cat & the Fiddle [CD],Papa John Creach,Pop,03/16/2018,
The Thundering Heard (Songs of Hoof and Horn) [CD],Eagle Twin,Pop,03/30/2018,
Nothingface [CD],Voivod,Pop,03/23/2018,
 Scourge [CD],Monotheist,Pop,03/16/2018,
 Mark of the Necrogram [CD],Necrophobic,Pop,02/23/2018,
Live at Luther College [LP] - VINYL,Dave Matthews,Pop,01/05/18,
 Everybody's Insecure [CD],Elk City,Pop,03/16/2018,
Big Bad John & Deck of Cards [CD],Wink Martindale,Pop,11/03/17,
Drew's Famous Kids Bible Songs & Stories [CD],Hit Crew,Pop,02/09/18,
Wrong Creatures [LP] - VINYL,Black Rebel Motorcycle Club,Pop,01/12/18,
Bestial Hymns of Perversion [CD],Of Feather and Bone,Pop,03/23/2018,
 Livin' Oblivion [CD],Black Wizard,Pop,03/16/2018,
The Concert in Central Park [LP] - VINYL,Simon & Garfunkel,Folk,10/06/17,
The Time-Life Treasury of Christmas: Holiday Memories [CD],Various Artists,Holiday,09/17/2002,5
Mollusk [Green Vinyl] [LP] - VINYL,Ween,Pop,03/18/2016,
Santana III [CD],Santana,Pop,03/25/2008,
Love Songs of the 80's [Sony] [CD],Various Artists,R&B Soul,01/01/01,5
Khaos Legions [CD],Arch Enemy,Pop,06/07/11,
Portamento [LP] - VINYL,The Drums,Pop,09/13/2011,
Paradigm Shift: Tour Edition [Only @ Best Buy] [CD],Korn,Pop,07/15/2014,4.8
Greatest Hits [CD],Pat Benatar,Pop,06/07/05,4.9
Emperor of Sand [LP] [Bonus Tracks],Mastodon,Pop,03/31/2017,4.9
Darkness on the Edge of Town [LP] - VINYL,Bruce Springsteen,Pop,06/16/2015,5
Asylum [CD] [PA],Disturbed,Pop,08/31/2010,4.7
Ten Thousand Ways to Die [CD],Obituary,Pop,10/21/2016,4.3
"How Big, How Blue, How Beautiful [Bonus Tracks] [CD]",Florence + the Machine,Pop,06/02/15,4.8
What's Inside: Songs from Waitress [CD],Sara Bareilles,Pop,11/06/15,4.6
Greatest Hits [CD],The Cure,Pop,11/13/2001,4.5
Seasons in the Abyss [CD] [PA],Slayer,Pop,03/12/02,4.8
We Are Not Alone [CD] [PA],Breaking Benjamin,Pop,06/29/2004,4.6
Metal Health [Bonus Tracks] [CD],Quiet Riot,Pop,08/28/2001,4.2
Just One Look: Classic Linda Ronstadt [CD],Linda Ronstadt,Country,08/21/2015,4.6
Pitch Perfect 2 [Special Edition] [CD],Original Soundtrack,Soundtracks & Shows,08/28/2015,5
South of Heaven [CD] [PA],Slayer,Pop,03/12/02,4.7
Vitalogy [Expanded Edition] [CD],Pearl Jam,Pop,03/29/2011,5
Songbook [CD] [PA],Chris Cornell,Pop,11/21/2011,4.8
35 Biggest Hits [CD],Tim McGraw,Country,07/17/2015,5
"The Traveling Wilburys, Vol. 1 [CD]",The Traveling Wilburys,Pop,10/14/2016,4.8
Gasoline [CD],Theory of a Deadman,Pop,03/29/2005,4.4
Us and Them [CD],Shinedown,Pop,10/04/05,4.8
Greatest Hits [CD],Lifehouse,Pop,07/14/2017,4.5
"The Best Of, Vol. 1 [CD]",Depeche Mode,Pop,11/14/2006,4.9
"La Sexorcisto: Devil Music, Vol. 1 [LP] - VINYL",White Zombie,Pop,05/08/12,5
Rock of Ages [Original Motion Picture Soundtrack] [CD],Original Soundtrack,Soundtracks & Shows,06/05/12,4.7
Shallow Bay: The Best of Breaking Benjamin [CD] [PA],Breaking Benjamin,Pop,08/16/2011,4.8
No Roots EP [CD],Alice Merton,Pop,08/11/17,5
The Ultimate Collection [CD],Michael McDonald,Pop,08/09/05,4.9
Hail to the King [CD] [PA],Avenged Sevenfold,Pop,07/30/2013,5
Odelay [LP] - VINYL,Beck,Pop,12/02/16,4.8
OK Computer [LP] - VINYL,Radiohead,Pop,05/20/2016,4.8
The  Best of Candlebox [CD],Candlebox,Pop,05/23/2006,5
Greatest Hits - Vol. 2 [CD],Linda Ronstadt,Country,10/25/1990,5
Hard Rain [LP] - VINYL,Bob Dylan,Pop,11/10/17,5
 Diamond Cuts: The B-Sides [CD],Airbourne,Pop,02/23/2018,4
L O V E  [CD],kirstin,Pop,07/14/2017,5
Nick Jonas [Bonus Tracks] [CD] [PA],Nick Jonas,Pop,11/10/14,4.8
Sounds Good Feels Good [CD],5 Seconds of Summer,Pop,10/23/2015,4.6
Four [CD],Blues Traveler,Pop,09/13/1994,4.7
Face Value [Deluxe Edition] [CD],Phil Collins,Pop,01/29/2016,4.7
Pass the Jar: Live from the Fabulous Fox Theatre in Atlanta [CD & DVD],Zac Brown,Country,05/04/10,4.8
Midnight [CD],Grace Potter,Pop,08/14/2015,4.5
True Believers [CD],Darius Rucker,Country,05/21/2013,4.7
Morrison Hotel [Digital Remaster] [2013] [CD],The Doors,Pop,03/26/2013,4.4
Echo [CD],Tom Petty,Pop,04/13/1999,5
Official Live: 101 Proof [CD],Pantera,Pop,07/29/1997,5
Reincarnate [Only @ Best Buy] [CD],Motionless in White,Pop,09/16/2014,4.8
PlectrumElectrum [CD],3rdEyeGirl,Pop,09/30/2014,4.3
Mi Pasion [CD],Armik,New Age,07/18/2006,
Spirit Dome: Live Archive [CD],Steve Roach,New Age,02/10/09,
Aguirre [Bonus Track] [CD],Popol Vuh,Electronic/Dance,12/18/2012,
Joy [CD],Jim Brickman,New Age,11/12/13,
Chakra Healing [CD],Dean Evenson,New Age,06/10/08,
Groundrush [CD],Green Isac,Electronic/Dance,04/03/01,
Out of the Blue [CD],Bill Hallett,New Age,10/21/2003,
On-The-Loose Dreams [CD],Pomes In A Pail,New Age,05/07/07,
Fibonacci's Dream [CD],Lawrence Blatt,New Age,01/01/07,
Hennie Bekker's Tranquility: Essence of Romance [CD],Hennie Bekker,World,10/27/2005,
Golden Voice [CD],Bhagavan Das,New Age,09/07/12,
"Imaginational Anthem, Vol. 4: New Possibilities [CD]",Various Artists,Avant-Garde,09/21/2010,
Edge of the Century [CD],R. Carlos Nakai,New Age,07/31/2001,
Rising Sun [CD],Narada Michael Walden,New Age,09/24/2013,
First Light: The Best of Golana [CD],Golaná,New Age,10/21/2008,
The Killing Fields [Original Soundtrack] [CD],Mike Oldfield,Soundtracks & Shows,02/05/16,
Music for Healing and Massage [CD],Various Artists,New Age,04/24/2012,
Mother's Calling [CD],Ambika,New Age,03/23/2018,
On the Wings of Love [CD],David Osborne,New Age,01/20/2015,
Ali's Dance [CD],Toshiki Nunokawa,New Age,09/29/2009,
Namo [CD],Gurudass,New Age,10/19/2011,
Sensual Mind [CD],Back to Earth,World,11/25/2008,
"DeLuxe Collection, Vol. 1 [CD]",Suzanne Ciani,New Age,03/22/2011,
Kokopelli Christmas [CD],Douglas Blue Feather,Holiday,09/11/08,
Pure Yoga Zen [CD],Various Artists,New Age,03/04/16,
Huna [CD],Sada Simran Kaur,New Age,08/17/2010,
Zen Basic [CD],After Work Meditation,New Age,01/20/2015,
"Healing Series, Vol. 3: Ambrosia [CD]",Peter Kater,New Age,03/03/09,
Stories of Forgiveness [CD],Camille D'Arienzo,Comedy/Spoken,05/30/2012,
Enchantment: Compilation 2 [CD],Karunesh,New Age,09/13/2011,
Live in Concert [CD],Mirabai Ceiba,New Age,05/13/2014,
Pianissimoraz [CD],Patrick Moraz,Easy Listening,04/10/12,
Holy Mountain [CD],Anthony Bez,New Age,09/09/03,
Ki [CD],Kitaro,New Age,07/29/2016,
Andrew Jackson: The Atrocious Saint [CD],Christopher Hedge,New Age,08/19/2008,
Prayer: A Windham Hill Collection [CD],Various Artists,Gospel & Christian,09/09/03,
Essence of Buddhist [CD],Various Artists,New Age,06/17/2014,
Vividly [CD],Pierre Bensusan,New Age,11/22/2010,
Prayer [CD],Uttara-Kuru,New Age,09/27/1999,
Journey to the Goddess [CD],Lisa Thiel,New Age,10/16/1997,
Blue Radiance [CD],Erik Wøllo,New Age,04/14/2015,
By the Way [CD],Red Hot Chili Peppers,Pop,07/09/02,4.6
Jar of Flies [LP] - VINYL,Alice in Chains,Pop,04/06/10,5
Torches [CD],Foster the People,Pop,05/23/2011,4.9
The Cream of Clapton [CD],Eric Clapton,Blues,03/07/95,4.7
Violator [2017 CD Reissue] [CD],Depeche Mode,Pop,06/16/2017,5
Professional Rapper [CD] [PA],Lil Dicky,Pop,07/31/2015,4.5
Chapter 1 [CD],Kane Brown,Country,03/11/16,5
Frozen: The Songs [CD],Original Soundtrack,Children's,09/30/2014,4.8
What a Night! A Christmas Album [CD],"Harry Connick, Jr.",Holiday,11/04/08,4.4
Goodbye Yellow Brick Road [CD],Elton John,Pop,03/25/2014,5
Damn Country Music [CD],Tim McGraw,Country,11/06/15,4.6
Temple of the Dog [CD],Temple of the Dog,Pop,04/16/1991,4.7
Onyx [CD],Pop Evil,Pop,05/14/2013,4.6
Alone [CD],Pretenders,Country,10/21/2016,4.1
Come on Get Happy: Very Best of Partridge Family [Remastered] [CD],The Partridge Family,Pop,05/03/05,5
Aerosmith's Greatest Hits [CD],Aerosmith,Pop,01/16/2015,5
Afterburner [CD],ZZ Top,Pop,10/25/1990,3.3
By the Way I Forgive You [LP] - VINYL,Brandi Carlile,Pop,02/16/2018,5
Under Lock and Key [CD],Dokken,Pop,02/03/09,4.3
The  Other Side [CD],The Walls Group,Gospel & Christian,11/03/17,5
Rocks [CD],Aerosmith,Pop,09/07/93,4.8
Live at the Hollywood Bowl [BluRay + 2CD] [Blu-Ray Disc],Jeff Beck,Pop,10/06/17,5
Kidz Bop 31 [CD],Kidz Bop Kids,Children's,01/15/2016,4.7
The  Duke [CD] [PA],Lamb of God,Pop,11/18/2016,4.6
Sonic Highways [CD],Foo Fighters,Pop,11/10/14,4.5
Icon [CD],Marvin Gaye,Soundtracks & Shows,08/31/2010,4.8
Serious Hits...Live! [CD],Phil Collins,Pop,12/08/90,4.4
Kerplunk! [CD],Green Day,Pop,01/09/07,5
No Need to Argue [The Complete Sessions 1994-1995] [CD],The Cranberries,Pop,07/30/2002,4.5
Head Full of Dreams [LP] - VINYL,Coldplay,Pop,12/04/15,5
The Best of Simon & Garfunkel [CD],Simon & Garfunkel,Folk,11/16/1999,4.8
Back for the Attack [CD],Dokken,Pop,07/15/2008,4.7
Something Else [CD],The Cranberries,Pop,04/28/2017,5
Original Album Series [CD],Stone Temple Pilots,Pop,09/17/2002,4.7
The Best Of... The Great American Songbook [CD],Rod Stewart,Vocal,02/01/11,5
Jukebox Heroes [CD],Foreigner,Pop,10/02/12,4.5
Greatest Hits [LP] - VINYL,Tom Petty,Pop,07/29/2016,4.9
Who's Next [180 Gram Vinyl] [LP] - VINYL,The Who,Pop,03/23/2015,4.7
Greatest Hits [Blackheart] [CD],Joan Jett,Pop,03/09/10,4.7
Perfectly Imperfect [CD],Grace VanderWaal,Pop,12/02/16,4.6
The End of Heartache [CD],Killswitch Engage,Pop,05/11/04,4.6
Metal Church [CD],Metal Church,Pop,10/25/1990,4.8
Scars & Souvenirs [CD] [PA],Theory of a Deadman,Pop,04/01/08,4.9
The Joshua Tree [CD],U2,Pop,11/20/2007,5
Down on the Upside [CD],Soundgarden,Pop,05/21/1996,4.7
Tracy Chapman [CD],Tracy Chapman,Folk,10/25/1990,5
Into the Wild [Original Soundtrack] [LP] - VINYL,Eddie Vedder,Soundtracks & Shows,10/19/2010,5
Journey To Persia [CD],Dastan Ensemble,New Age,08/12/03,
Guided Meditations: Meditations For Self Healing [CD],Faye Wenke,New Age,07/28/2009,
Playlist: The Very Best of Jim Brickman [CD],Jim Brickman,Easy Listening,05/29/2012,
Energy Field [CD],Jana Winderen,Electronic/Dance,04/13/2010,
The Afro-Indian Project: Travels with the African Kora in India [CD],Ravi,Jazz,03/24/2009,
Snow [CD],Pepe Maina,New Age,01/02/13,
David Foster [CD],David Foster,Easy Listening,09/23/2016,
Moving On [CD],Hennie Bekker,Electronic/Dance,06/29/2010,
"Buddha-Bar, Vol. 4 [CD]",David Visan,Electronic/Dance,01/16/2007,
Os Dias Da Madredeus [LP] - VINYL,Madredeus,World,09/22/2017,
Larry Kirwan's Celtic Invasion [CD],Various Artists,New Age,03/05/13,
Sounds of Nature: Journey of the Whales [CD],Various Artists,New Age,05/17/2005,
Silent Night [CD],The Necks,New Age,11/05/96,
Aion [CD],Dead Can Dance,Jazz,11/18/2008,
Come What May [CD],Ad Vielle Que Pourra,World,03/06/07,
Music from a Painted Cave [CD],Rare Tribal Mob,World,04/03/01,
Blue Fog [CD],Peter Roller,Jazz,04/30/2010,
Journey to Your Heart: Celtic Mantras [CD],Llynya,New Age,10/01/02,
Farniente [CD],Various Artists,New Age,07/24/2015,
Month in the Brazilian Rainforest: Dawn Chorus [CD],Various Artists,New Age,07/01/91,
West of the Galaxy [CD],Geodesium,New Age,07/18/2006,
Winterpeace [CD],Matt Stuart,Gospel & Christian,11/18/2014,
Past Life Regression [CD],Dr. Bruce Goldberg,New Age,07/19/2005,
Open Spaces [CD],Richard Shulman,New Age,03/08/06,
A  Good Night's Sleep [CD],Various Artists,New Age,07/28/2017,
Revelation [CD],David Nevue,New Age,08/10/12,
Sea to Shining Sea: A Tapestry of American Music [CD],Robin Spielberg,Easy Listening,09/21/2010,
Sacred Name Sacred Codes [CD],Desiree Hurtak,New Age,02/18/2013,
Takin' Chances [CD],Donna Fein,New Age,08/04/09,
Sacred Cello [CD],Steven Sharp Nelson,New Age,10/10/06,
Osho Whirling [CD],Deuter,New Age,06/20/2003,
Magic Age III [CD],Various Artists,New Age,06/13/1994,
Collage: A Timeless Collection Of Medleys [CD],Danny Wright,New Age,05/20/2014,
Pure Cinema [CD],Jim Brickman,New Age,03/25/2016,
Oceanic [CD],Vangelis,Electronic/Dance,11/26/1996,
Body & Soul Collection: Whispering Winds [CD],Various Artists,New Age,04/24/2001,
This Lush Garden Within [CD],Black Tape for a Blue Girl,New Age,06/10/97,
Classical Guitar Tales [CD],Huw Lloyd-Langton,New Age,01/25/2011,
Zed [CD],Cirque du Soleil,World,10/13/2009,
Wired [CD],Michael McGoldrick,World,01/31/2006,
Intimacy: Music for Love [CD],Raphael,New Age,02/11/97,
Deep Still Blue [CD],2002,New Age,05/08/07,
"Music for the Spirit, Vol. 4 [CD]",Various Artists,New Age,11/05/02,
Opening to Dolphin Energy [CD],Linda Shay,New Age,05/01/11,
Living Peace [CD],Gael Chiarella,New Age,02/20/2007,
"Club Chill, Vol. 1 [CD]",Robert Schroeder,Electronic/Dance,04/01/11,
Best: 1991-2004 [CD],Seal,Pop,11/09/04,5
Rubberneck [CD],Toadies,Pop,08/23/1994,5
No Fixed Address [CD],Nickelback,Pop,11/17/2014,4.3
Barton Hollow [CD],The Civil Wars,Pop,07/30/2013,4.5
Mezmerize [CD] [PA],System of a Down,Pop,05/17/2005,4.5
Lipstick on the Mirror [12 Tracks] [CD],Pop Evil,Pop,05/11/09,4.6
Hopeless Romantic [CD],Michelle Branch,Pop,04/07/17,4.1
Shatter Me [CD],Lindsey Stirling,Pop,04/29/2014,4.9
Gold [CD],The Righteous Brothers,R&B Soul,01/10/06,3.8
From the Vault: Hyde Park 1969 [Blu-Ray Disc],The Rolling Stones,Pop,07/24/2015,4.6
The  Gift [CD],Susan Boyle,Holiday,11/09/10,4.4
Thrive [CD],Casting Crowns,Gospel & Christian,01/28/2014,4.8
"Rock 'n Soul, Pt. 1 [Bonus Tracks] [CD]",Daryl Hall & John Oates,Pop,01/17/2006,4.6
"La Sexorcisto: Devil Music, Vol. 1 [CD] [PA]",White Zombie,Pop,03/17/1992,4.8
The Resistance: Rise of the Runaways [CD],Crown the Empire,Pop,07/22/2014,4.5
Vikings [CD],New Politics,Pop,08/14/2015,4.6
The Dutchess [CD] [PA],Fergie,Pop,09/19/2006,4.7
Ire [CD],Parkway Drive,Pop,09/25/2015,4.7
Strange Days [Deluxe Edition] [CD],The Doors,Pop,03/27/2007,5
This Is War [CD],Thirty Seconds to Mars,Pop,12/08/09,4.8
Long Lost Suitcase [CD],Tom Jones,Pop,12/04/15,4.4
The  Truth Is... [CD] [PA],Theory of a Deadman,Pop,07/12/11,4.6
Back to Bedlam [CD] [PA],James Blunt,Pop,10/04/05,4.8
Beneath the Skin [Deluxe] [CD],Of Monsters and Men,Pop,06/09/15,4.8
R40 Live [Video] [DVD],,,11/20/2015,5
See What You Started by Continuing [CD],Collective Soul,Pop,10/02/15,4.2
My Favourite Faded Fantasy [CD],Damien Rice,Folk,11/10/14,4.8
ICON [CD],The Human League,Pop,02/24/2015,4.6
En Todo Estare [Deluxe Edition] [CD],Chayanne,Latin,08/25/2014,4.7
Sticky Fingers [CD],The Rolling Stones,Pop,05/05/09,4.9
With the Lights Out [CD],Nirvana,Pop,11/23/2004,4.9
Mer de Noms [CD] [PA],A Perfect Circle,Pop,05/23/2000,5
Serpents Unleashed [CD],Skeletonwitch,Pop,10/29/2013,4.9
Beggars Banquet [CD],The Rolling Stones,Pop,08/27/2002,4.6
Around the Fur [CD] [PA],Deftones,Pop,10/28/1997,4.6
Servant of Love [CD],Patty Griffin,Country,09/25/2015,4
As Daylight Dies [Bonus DVD] [CD],Killswitch Engage,Pop,08/28/2007,5
Hope in Front of Me [CD],Danny Gokey,Gospel & Christian,06/23/2014,4.5
Peace Sells...But Who's Buying? [Bonus Tracks] [CD] [PA],Megadeth,Pop,07/27/2004,4.8
Traveling Wilburys [CD/DVD] [CD & DVD],The Traveling Wilburys,Pop,06/03/16,4.7
Lower the Bar [CD],Steel Panther,Pop,03/24/2017,5
Hits of the 70s [Sonoma] [CD],Various Artists,Pop,09/25/2012,3.4
Some People Have Real Problems [CD],Sia,Pop,01/08/08,4.5
Their Greatest Hits [ABKCO] [CD],Herman's Hermits,Pop,10/25/1990,5
Yatra [CD],Springgroove,World,05/11/11,
Sacred Earth [CD],Dean Evenson,New Age,09/14/2010,
Om Sweet Om [CD],Lisbeth Scott,New Age,11/21/2011,
Return to the Goddess: In Chants & Song [CD],Desert Wind,New Age,06/06/05,
"Le Best of Cirque du Soleil, Vol. 2 [CD]",Cirque du Soleil,New Age,11/06/12,
Splendid Adventure [CD],Kenneth Kuo,New Age,06/07/05,
Gently Weeps [Japan] [CD],Jake Shimabukuro,New Age,06/14/2006,
Music for Sound Healing [CD],"Dr. Mitchell Gaynor, M.D.",New Age,09/26/2006,
The Sounds of Nature: Wolves [CD],Sounds Of Nature,New Age,04/04/03,
Jaya!: Shantala [CD],Benjy Wertheimer,New Age,10/24/2011,
Linger Longer [CD],Laura McMillan,Jazz,01/17/2012,
Searching [CD],Riley Lee,New Age,03/11/11,
Skyline [CD],Jake Shimabukuro,New Age,08/12/03,
Peaceful Planet [CD],Kourosh Zolani,New Age,01/01/03,
Momentos New Age [CD],Rogerio Cauchioli,New Age,11/30/1993,
Memory & Praise [CD],Alec Stone-Sweet,Folk,09/12/00,
Sounds of Nature: Storms [CD],Various Artists,New Age,04/04/03,
Music for Zen Meditation and Other Joys [CD],Tony Scott,New Age,07/29/1997,
Sounds of Earth: Rainforest [CD],Sounds Of The Earth,New Age,02/15/2000,
Music for Sound Healing [CD],Steven Halpern,New Age,01/12/99,
Where the Earth Meets the Sky [CD],Tom Heasley,New Age,01/01/01,
Jeep [CD],Tsuyoshi Nagabuchi,Electronic/Dance,02/08/06,
Spirit of Relaxation [Wagram] [CD],Various Artists,Easy Listening,04/10/12,
Cascadia [CD],Lino,New Age,06/09/15,
Enlightenment: A Sacred Collection [CD],Karunesh,New Age,06/24/2008,
Spanish Kiss [CD],Luis Villegas,New Age,11/28/2000,
"Celtic Twilight, Vol. 6 [CD]",Various Artists,World,10/14/2003,
The Fire and the Rose [CD],Robert Fox,New Age,08/04/17,
Le Chant des Animaux: Collection Bien-Etre [CD],Various Artists,New Age,12/01/15,
Ancient Evenings [LP] - VINYL,Garry Hughes,Electronic/Dance,06/09/15,
Dance of the Renaissance [CD],Richard Searles,New Age,11/04/03,
Sleepy Ocean: With Delta Brainwave Pulses [CD],Jeffrey D. Thompson,New Age,05/22/2007,
The Wonder Well [CD],John Adorney,New Age,02/11/14,
Traum Vom Paradies [CD],Thomas Eichenbrenner,New Age,04/24/2012,
Voices of the Sky [CD],Various Artists,New Age,05/30/2012,
O'2L [CD],O'2L,Electronic/Dance,06/10/03,
A Thousand Suns [CD],GuruGanesha Band,New Age,07/09/13,
Jahan E Khusrau [CD],Abida Parveen,World,03/01/09,
Die Nacht Der Seele: Tantric Songs [Bonus Tracks] [CD],Popol Vuh,Avant-Garde,07/19/2005,
Shimmering in the Moonlight [CD],Yup Kim,New Age,05/20/2016,
Song Carrier [CD],Robert Mirabal,New Age,07/31/1995,
Veermaster [CD],Dennis Hart,New Age,07/15/2008,
"Selbstportrait, Vol. 3: Reise Durch Arcadien [CD]",Hans-Joachim Roedelius,Electronic/Dance,04/02/13,
Of Those Now Gone [CD],Michael Hanna,New Age,03/16/2004,
Gamma Meditation System [2 CD] [CD],Jeffrey D. Thompson,New Age,11/21/2006,
The Very Best of James Galway [CD],James Galway,Easy Listening,07/01/08,
Healing Mind System [CD],Jeffrey D. Thompson,New Age,06/28/2005,
Vol de Nuit [CD],Antoine de Saint-Exupéry,Comedy/Spoken,04/01/00,
Babel [CD],Mumford & Sons,Pop,09/25/2012,4.7
Talking Is Hard [CD],Walk the Moon,Pop,12/02/14,4.6
Wildfire [CD],Rachel Platten,Pop,01/01/16,4.7
Dirt [LP] - VINYL,Alice in Chains,Pop,02/23/2010,5
Youth Authority [Only @ Best Buy] [CD],Good Charlotte,Pop,07/15/2016,4.3
Best of Johnny Rivers [EMI] [CD],Johnny Rivers,Pop,10/04/05,4.7
"Hourglass, Vol. 1: The Underground Years [CD] [PA]",Lamb of God,Pop,06/01/10,4.4
Funhouse [CD] [PA],P!nk,R&B Soul,10/28/2008,4.7
Hair of the Dog [CD],Nazareth,Pop,10/25/1990,4.8
Jagged Little Pill [CD],Alanis Morissette,Pop,06/13/1995,4.8
The  Thrill of It All [LP] - VINYL,Sam Smith,Pop,11/03/17,5
The Used [CD],The Used,Pop,06/25/2002,4.2
Icon [CD],Rick James,Pop,08/31/2010,4.9
Melophobia [LP] - VINYL,Cage the Elephant,Pop,10/08/13,4.8
Secret Messages [CD],Electric Light Orchestra,Pop,08/04/09,4
Country Evolution [CD],Home Free,Country,09/18/2015,5
Three Cheers for Sweet Revenge [CD] [PA],My Chemical Romance,Pop,06/08/04,4.6
Reinventing the Steel [CD] [PA],Pantera,Pop,03/21/2000,4.9
Places [CD],Lea Michele,Pop,04/28/2017,4.9
Weezer [Blue Album] [LP] - VINYL,Weezer,Pop,10/28/2016,4.7
Frampton Comes Alive! [CD],Peter Frampton,Pop,07/28/1998,5
Rock the Rebel/Metal the Devil [CD],Volbeat,Pop,06/24/2008,4.8
Let's Play Two: Live at Wrigley Field [DVD/CD] [CD & DVD],,,11/17/2017,5
If All I Was Was Black [CD],Mavis Staples,Pop,11/17/2017,5
1+ [CD/2-Blu-Ray] [CD & Blu-Ray],The Beatles,Pop,11/06/15,4.9
57th & 9th [Deluxe Version] [CD],Sting,Pop,11/11/16,4.4
Southern Style [CD],Darius Rucker,Country,03/31/2015,4.6
Live at Radio City Music Hall [CD & DVD],Joe Bonamassa,Blues,10/09/15,5
The Ultimate Collection [Sony/Epic] [CD],Michael Jackson,R&B Soul,11/16/2004,4.7
